iter	Logloss
0	0.688205942
1	0.6826712506
2	0.6761809754
3	0.6703431361
4	0.664249084
5	0.6592852204
6	0.6536125185
7	0.647972581
8	0.6429585709
9	0.6377339976
10	0.632200043
11	0.6268363845
12	0.6224794507
13	0.6173708599
14	0.612300258
15	0.607378838
16	0.6023526508
17	0.597689904
18	0.5940464843
19	0.5899350457
20	0.5866802038
21	0.582842779
22	0.5791821604
23	0.5747873835
24	0.5709095207
25	0.5673475815
26	0.563179258
27	0.5600095896
28	0.5565602938
29	0.5529027664
30	0.5496815643
31	0.5463116003
32	0.5425969341
33	0.5392718089
34	0.5361055195
35	0.5343354971
36	0.5312759681
37	0.5277391257
38	0.5252959173
39	0.5221864116
40	0.5192508523
41	0.5168434244
42	0.5143751033
43	0.5119748202
44	0.5088808895
45	0.5069285246
46	0.504674014
47	0.5023315082
48	0.5005364688
49	0.4981725976
50	0.4961469879
51	0.4938414631
52	0.4920329361
53	0.4899182161
54	0.4881464362
55	0.4861062801
56	0.4844113637
57	0.4820110431
58	0.479792651
59	0.4779112802
60	0.4763880288
61	0.4747986129
62	0.4738444318
63	0.4726141176
64	0.4705099051
65	0.4685063833
66	0.4674035909
67	0.4664159092
68	0.4650845707
69	0.4631028252
70	0.4620911003
71	0.4603574892
72	0.4589558413
73	0.4572202945
74	0.4557502658
75	0.453798221
76	0.4523485323
77	0.4506009182
78	0.4492776442
79	0.4474963132
80	0.4461220785
81	0.4446471588
82	0.4432496504
83	0.4423041548
84	0.4409318762
85	0.4394461333
86	0.4381447072
87	0.4369822965
88	0.4362527768
89	0.4351720434
90	0.4344298466
91	0.4334964046
92	0.432439143
93	0.4311230188
94	0.4299703242
95	0.4294663422
96	0.428451557
97	0.4275631646
98	0.4264931122
99	0.425587654
100	0.4244516464
101	0.4235377894
102	0.4228161847
103	0.4219506791
104	0.4209274794
105	0.4205440674
106	0.4194253924
107	0.418688351
108	0.4176362711
109	0.4166162962
110	0.4160095516
111	0.414753586
112	0.4139041688
113	0.4135598259
114	0.4128907061
115	0.4119500149
116	0.4113325615
117	0.4105257913
118	0.4096681416
119	0.4089109691
120	0.4083663659
121	0.4074078174
122	0.4065423078
123	0.4055846101
124	0.4048929663
125	0.4042051335
126	0.4037365007
127	0.4029272643
128	0.4021088054
129	0.40139261
130	0.4005182521
131	0.3999030747
132	0.3993182924
133	0.3985938946
134	0.3980727186
135	0.3972217589
136	0.3966732156
137	0.3960095402
138	0.3955235959
139	0.3949548124
140	0.3945164182
141	0.3943416288
142	0.3937318367
143	0.393312601
144	0.3926853358
145	0.3923533169
146	0.3919081702
147	0.3914026369
148	0.3910618269
149	0.3905816903
150	0.3902301217
151	0.3895183533
152	0.3890791274
153	0.3886359572
154	0.3881646696
155	0.3877786752
156	0.3872437809
157	0.386985684
158	0.3863409821
159	0.3858152658
160	0.3853558372
161	0.384927083
162	0.3846090401
163	0.384323406
164	0.3839187169
165	0.3834004693
166	0.3828705074
167	0.3824432477
168	0.3821555445
169	0.3817616319
170	0.3814528226
171	0.3811141044
172	0.3807792046
173	0.3803683233
174	0.3801599802
175	0.3796029463
176	0.3791500915
177	0.3789317911
178	0.3787069172
179	0.3783303928
180	0.3779598129
181	0.3776936448
182	0.3773935293
183	0.3771516119
184	0.3766091039
185	0.3761942322
186	0.3759817382
187	0.3756638951
188	0.3753131725
189	0.3750080205
190	0.3745393093
191	0.3741509734
192	0.3738738256
193	0.3736692485
194	0.3733317306
195	0.3729947438
196	0.3727338514
197	0.3723929633
198	0.3720142626
199	0.3716053819
200	0.3714857514
201	0.3713209814
202	0.3709709605
203	0.3708055278
204	0.370389098
205	0.3701681333
206	0.3697752062
207	0.3693895892
208	0.368983074
209	0.3688485921
210	0.3685655622
211	0.3681719618
212	0.3678580194
213	0.3676302971
214	0.3674321109
215	0.3671751673
216	0.3668459701
217	0.3665793133
218	0.366534137
219	0.3661720693
220	0.3659142657
221	0.3656538769
222	0.3654832738
223	0.3652882559
224	0.3651355062
225	0.3649931087
226	0.3647903743
227	0.3644979331
228	0.3642027827
229	0.3641629498
230	0.3639913295
231	0.36377008
232	0.3634968813
233	0.3630312486
234	0.3626996677
235	0.3624730635
236	0.362034312
237	0.3617586765
238	0.3617191394
239	0.3615202445
240	0.3612778436
241	0.3609870129
242	0.3607606871
243	0.3603985321
244	0.3602139177
245	0.3600469322
246	0.3598960894
247	0.3597536487
248	0.359565726
249	0.3592407568
250	0.3589170944
251	0.358514632
252	0.3581317659
253	0.3578578637
254	0.3575721388
255	0.3573364484
256	0.3572573719
257	0.3570093218
258	0.3566959816
259	0.3565027963
260	0.3564227054
261	0.3560809318
262	0.3558694363
263	0.3557994022
264	0.3554231197
265	0.355192647
266	0.3548374351
267	0.3547567333
268	0.3545723482
269	0.3543817029
270	0.3542639293
271	0.3540688994
272	0.3536819512
273	0.353379927
274	0.3528014073
275	0.3524789169
276	0.3522801373
277	0.3520006317
278	0.3518440554
279	0.3517077834
280	0.3514919704
281	0.351305561
282	0.3510402427
283	0.3508297236
284	0.3506495324
285	0.3504478574
286	0.3503222392
287	0.3501266132
288	0.3500963119
289	0.3498552594
290	0.3498130292
291	0.3495747912
292	0.3492609589
293	0.3490242738
294	0.3488181676
295	0.3484698151
296	0.3481887997
297	0.3480137086
298	0.3477620968
299	0.3476030277
300	0.3474672448
301	0.3472858365
302	0.3471901677
303	0.3468632784
304	0.3466189712
305	0.3464150599
306	0.346224371
307	0.3460943915
308	0.3459136621
309	0.3456555741
310	0.3455547206
311	0.3452981714
312	0.3451154799
313	0.3450320127
314	0.3448203866
315	0.3447039054
316	0.3444824128
317	0.3443142571
318	0.3442296104
319	0.3441459502
320	0.3440440653
321	0.3436866278
322	0.3435451147
323	0.3433623607
324	0.343190937
325	0.3430685972
326	0.3428742105
327	0.3427738607
328	0.3427320369
329	0.3426399197
330	0.3425430767
331	0.3423417671
332	0.3422362733
333	0.3420462712
334	0.34187269
335	0.3417853514
336	0.3417499558
337	0.3415295116
338	0.341374477
339	0.3412838096
340	0.3411179438
341	0.3410065513
342	0.3408597508
343	0.3407785505
344	0.340757207
345	0.3405104381
346	0.3403626151
347	0.3402636063
348	0.3400079346
349	0.3397231374
350	0.3395392615
351	0.3394319829
352	0.3392357625
353	0.339117636
354	0.3390500972
355	0.3388791066
356	0.3387215172
357	0.3384687943
358	0.3383540863
359	0.3381420059
360	0.3380512196
361	0.3378531946
362	0.3377767726
363	0.337672766
364	0.3374044859
365	0.3370508309
366	0.3367733606
367	0.3365989122
368	0.3363459099
369	0.3362160334
370	0.3360694717
371	0.3360087364
372	0.3358791493
373	0.3356733755
374	0.3355250557
375	0.3353542071
376	0.335306667
377	0.3351505656
378	0.3350611693
379	0.3350004134
380	0.3348962956
381	0.3345316129
382	0.3343447702
383	0.3343017361
384	0.3342441944
385	0.3341569557
386	0.3339298537
387	0.3337151829
388	0.3336314212
389	0.333496841
390	0.3333222496
391	0.3331845514
392	0.3330343143
393	0.3327952096
394	0.3326096866
395	0.3324299707
396	0.3323434651
397	0.3321721549
398	0.332090681
399	0.3317443258
400	0.3316107851
401	0.331353524
402	0.3313146128
403	0.3311009885
404	0.330932133
405	0.330630736
406	0.3304257977
407	0.3303179002
408	0.3301678125
409	0.3300816638
410	0.3300017552
411	0.3298770467
412	0.3298191086
413	0.3297384737
